ID,Name,Level,Attack,Critical,Defence,Probability,MaxLevel,Hp,Mp,Type,AddAttack,AddCritical,AddDefence,ReinforGold,AddReinforGold,CoolTime
1,Shotsword,1,10,2,0,100,20,0,0,Weapon,5,1,0,100,100,0
2,KatanaBlade,1,15,5,0,95,25,0,0,Weapon,8,2,0,200,150,0
3,Bastardsword,1,30,10,0,70,30,0,0,Weapon,10,3,0,300,200,0
4,Armor,1,0,0,50,70,30,0,0,UpperBody,0,0,10,300,200,0
5,belts,1,0,0,10,100,20,0,0,LowerBody,0,0,2,100,100,0
6,boots,1,0,0,15,100,25,0,0,Shoes,0,0,3,150,100,0
7,bracers,1,0,0,10,100,25,0,0,Accessories,0,0,1,300,200,0
8,cloaks,1,0,0,10,100,20,0,0,UpperBody,0,0,3,200,150,0
9,gloves,1,0,0,20,90,25,0,0,Hand,0,0,4,250,180,0
10,helmets,1,0,0,25,90,30,0,0,Head,0,0,5,300,200,0
11,leatherArmor,1,0,0,30,80,25,0,0,UpperBody,0,0,7,250,150,0
12,necklace,1,0,0,5,100,30,0,0,Accessories,0,0,3,100,50,0
13,pants,1,0,0,25,95,30,0,0,LowerBody,0,0,5,300,200,0
14,rings,1,0,0,10,85,30,0,0,Accessories,0,0,7,150,100,0
15,apple,0,0,0,0,0,0,50,0,Item,0,0,0,0,0,5
16,hp,0,0,0,0,0,0,150,0,Item,0,0,0,0,0,15
17,Meat,0,0,0,0,0,0,100,0,Item,0,0,0,0,0,10
18,mp,0,0,0,0,0,0,0,100,Item,0,0,0,0,0,12
